record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,编号,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
recuQC9PSBnB8q,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/eTnzEjJYcLm6w7y,DRF-,DRF,,,image.png,17.9,image.png,20250711-322,40g/包,大润发,1752209831000,13.9,美国经典原味马铃薯片+黄瓜味马铃薯片+青柠味马铃薯片+香脆烤鸡翅味大波浪薯片+铁板鱿鱼味大波浪薯片,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,200g/袋,,
recuQC9QAB4nj8,optyOdHDok,中国,台湾,台湾,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/CeLwdQJ6fwADjQA,DRF-,DRF,,,image.png,19.8,image.png,20250711-323,100g/袋,大润发,1752209831000,,黑松露味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQC9R01dtWT,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/fbOlNx4uNjtMZ1k,DRF-,DRF,,,image.png,36.8,image.png,20250711-324,184.2g/袋,大润发,1752209831000,,酸奶油洋葱味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQC9RoV3PyK,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/3gcDA73PWtlPwiC,DRF-,DRF,,,image.png,7.3,image.png,20250711-325,75g/袋,大润发,1752209831000,6.3,甜辣炸鸡味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQCbd2MdtHC,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/ehLLI70ECKma1Rp,DRF-,DRF,,,image.png,11.9,image.png,20250711-328,135g/袋,大润发,1752210147000,10.56,浓郁蒜香味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQCbvAalxmm,optyOdHDok,中国,,,单,乐事马铃薯片,休闲零食,膨化食品,#小程序://大润发优鲜/dZa2umMzdKMgGkj,DRF-,DRF,,,image.png,11.9,image.png,20250711-329,135g/袋,大润发,1752210218000,10.56,花椒小酥肉味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recZEAWWB1,opt34kZpKJ,中国,宁德,福建,单,盛耳鲜炖速食元气满满五红粥,方便速食,速食汤粥,https://chaoshi.detail.tmall.com/item.htm?id=820580106391&pisk=g9rqyfNsUiI4v5EVsYmwaDMphAnx8mfCilGsIR2ihjcmfZdwbRcz5thj1zrZaJXxGNQY_zPgwqGDcmOga5NSioGjmfJa17Kb1rwmshP_CoN_njGiSb2gc5yOHAcgs5l_lasQH-ntj6ONAMwxi5gAQSuinQXiKAxcFqYWHcXxj61CbU9oksig1qwRg3YopbDDmq0GUbDKQcDmSAXrZAkpSIVijTWrHxvDnjxDE8DsZCDijxvuEAMMSnYmoTyowAmisbmTnRxrdqXO-KBr36ba5X2mahxepxucpRL6mn2snqrgUbuSPukquX0gjDc8m7wgco3RrUoTFyPaSWfWlj4EL7uQu6-4TSHgQAVVvplu0Rrrkz9pj8uZgzqmzdxiq0GZ-PPVgEh0l7uKE4vNvYNIZ-E0zOdunWGqmY05x9yoSzZxJo1k0D4Lhmagt_TjiykG4xRtEuUzXrRM7qD-UX6PUOw2DzhSQVrDWF3ovYlChxT9WqD-UX6PUFLtrvHrOtMf.&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E9%2580%259F%25E9%25A3%259F%25E6%25B1%25A4%25E7%25B2%25A5&skuId=5529391137022&smCaptainPrice=750&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_6.ceac5885P1oQqu,MC-0002B,MC,0002,B,image.png,12.9,image.png,20250709-052,156g,猫超,1752026886000,7.5,八宝粥味,福建盛耳食品有限公司,福建盛好生物科技有限公司,image.png,image.png,,,
recusdDm8K,optdvzXxa7,中国,临沂,山东,单,压榨一级花生油,粮油干调,粮油干调,,PDL-,PDL,,,微信图片_2025-07-09_100926_759.png,396,微信图片_2025-07-09_100921_534.png,20250709-053,5L,胖东来,1752027176000,,,许昌市胖东来超市有限公司,山东金胜粮油食品有限公司,,微信图片_2025-07-09_100916_623.jpg,4瓶/箱,,
rec189xRcX,optD3EcNDP,中国,宁德,福建,单,盛耳桂圆红枣银耳粥,方便速食,速食汤粥,https://chaoshi.detail.tmall.com/item.htm?id=820883512028&pisk=g0MjyYxDMZbfx3bomEKPF25EBp26CV9eHGZtxcBVX-exXRgKRtPvjI4TXzg76OR035wsyzk4umyAWViLrnVaHE4tPV3vmrzqQdMSX2t0bEDZFPntbrUwoAGlCDmi3n2wm-m0IRLe8pWsmm2GbnvX1x6R2ooR6Ze9a8dYnc_p8pJEVIE0Q0LEQmu3WkrFBRFYk8F8rlXTDVFYygUujlQYXtKS2z4RWNCAMzQ8mlEYBOFt2gE0jsEY6RFR2zqTBP3TBbSlAlObomt4yir9VdOztz6OBYZJSynXzTZZLoO8RmaWJFM5-SaKDz69kPI7bPaopURSq2Gxuu06dUwKt4M_9R9f-oG-A8U4pB17h0umd-HBltrzUzPK67tvH0wbl2MuOGCbhf3mCScfjHm8H4c3-SdkruMqL5a3NaLx40aYOfg2rOUqO037TY7PLJhnPANLpgkRLy6kv1s7tOZ783t5s1mXlakeznwk0SEuc7-WVZhgMuq783t5s1VYqoayV3_xs&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E9%2580%259F%25E9%25A3%259F%25E6%25B1%25A4%25E7%25B2%25A5&skuId=5697588907162&smCaptainPrice=750&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_7.ceac5885P1oQqu,MC-,MC,,,image.png,12.9,image.png,20250709-054,156g,猫超,1752027422000,7.5,桂圆红枣味,福建盛耳食品有限公司,福建盛好生物科技有限公司,,image.png,,,
recWSuLZNV,optwXILiBE,中国,泰州,江苏,单,零反式脂肪葵花籽油,粮油干调,粮油干调,,PDL-,PDL,,,微信图片_2025-07-09_101405_349.png,276,微信图片_2025-07-09_101411_205.jpg,20250709-055,5L,胖东来,1752027366000,,,许昌市胖东来超市有限公司,益海粮油工业有限公司,,微信图片_2025-07-09_101414_340.jpg,4瓶/箱,,
recQtX1bHJ,optVNIODrm,泰国,,,单,100%椰子水,酒水饮料,果汁/植物饮,,SM-,SM,,,椰子水1-标2.jpg,49.9,537175bc6980bbd5e0f4541e73150df5_compress.jpg,20250709-056,1L,山姆APP,1752037396000,,,,,,4b273bf048790cfec80194339346007c_compress.jpg,1L*6,,
recshF3soF,optAMcXDwu,中国,潍坊,山东,单,小磨芝麻酱,粮油干调,粮油干调,,PDL-,PDL,,,微信图片_2025-07-09_101645_484.png,11.8,微信图片_2025-07-09_101638_516.png,20250709-057,300g,胖东来,1752027512000,,芝麻味,许昌市胖东来超市有限公司,瑞福油脂股份有限公司,,,,,
recZ3PbbAi,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/PvX4Qv5fvBQc4nd,DRF-0007A,DRF,0007,A,image.png,5.9,image.png,20250709-058,62g/罐,大润发,1752028099000,,醇香原味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQpSxaSZoPd,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/EEj6jx0w5iRk0NC,DRF-0007B,DRF,0007,B,image.png,5.9,image.png,20250709-059,62g/罐,大润发,1752028380000,,滋香烤肉味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQpSxpLRk66,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/kLRSCzigxBcqWLk,DRF-0007C,DRF,0007,C,image.png,5.9,image.png,20250709-060,62g/罐,大润发,1752028381000,,鲜浓番茄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recuQpSxFnJxxt,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/as3uQrNrGcswYJl,DRF-0007D,DRF,0007,D,image.png,8.5,image.png,20250709-061,104g/罐,大润发,1752028382000,7.5,醇香原味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQpUF9Y0XXw,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/as3uQrNrGcswYJl,DRF-0007E,DRF,0007,E,image.png,8.5,image.png,20250709-062,104g/罐,大润发,1752028888000,7.5,滋香烤肉味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQpUFoKzIow,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/as3uQrNrGcswYJl,DRF-0007F,DRF,0007,F,image.png,8.5,image.png,20250709-063,104g/罐,大润发,1752028889000,7.5,鲜浓番茄味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQpV72tJDjP,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/as3uQrNrGcswYJl,DRF-0007H,DRF,0007,H,image.png,8.8,image.png,20250709-065,104g/罐,大润发,1752028995000,7.8,黑椒牛扒味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recuQpV7hvUbqh,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/as3uQrNrGcswYJl,DRF-0007I,DRF,0007,I,image.png,8.5,image.png,20250709-066,104g/罐,大润发,1752028996000,7.5,香浓红烧肉味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,,,,,
recp7Q9koo,optH3Z20Kt,中国,,,单,乐事无限薯片,休闲零食,膨化食品,#小程序://大润发优鲜/segdYAVmYAaxG1h,DRF-0007J,DRF,0007,J,image.png,8.5,image.png,20250709-067,90g/罐,大润发,1752029856000,7.5,芭拿拿香蕉味,百事食品(中国)有限公司,百事食品(中国)有限公司北京分厂(QY)/武汉/德阳/佛山/临沂,image.png,,,,
recMsrroqE,opt00WEheh,中国,宁德,福建,单,盛耳炖炖好速食粥私房牛肉粥,方便速食,速食汤粥,https://chaoshi.detail.tmall.com/item.htm?id=773720182393&pisk=gPVEyzqS76CFNTVFqVcybjgvR4hK4Xjfx7iSrz4oRDmnN9KyazmaFwnIVRPrbrbKATBL4RruXviHOXtubuZsxWiIt08zVldQVJanqQr7PWZ7-DioEc4uOuzRJ4muquo7dO1bJyh-ZitPGsaKxuMdzkRkZAboo4gl5vv6JbbKZisfadTipMGuVvMT9Cvikc0HtvDl7c0xzb0n-bbZj4uvEHqoZN7ZJ2YH-DAHSP0SjHxnxBDgS4gnrBvnxNziX4coqb50-zAZlvbRneQZ86_F3mznbQAut_HE0On-W4PZCvmmIDAoC5uELm43gGrUcVV__xM6PGGgkRZn7j5eD2yguX0zwZvr4YPK_crViQ3TKkPiU5_RiyGEzxcoQUAu7ymsIWccihuTIywu9k8yZ2FQGYoxQaA-FfVjn-qeyZUit4q-H7sv9D4ukSejg6-x8R4q_gW22VVTQ7eeqLknWVof7N778Betf4kztLp-Ij3ZcwgBeLHnWVof7NJJeA0x7m_IR&rdcAreaId=310115104&rdcTimeEffectiveTagType=none&searchWord=%25E9%2580%259F%25E9%25A3%259F%25E6%25B1%25A4%25E7%25B2%25A5&skuId=5293017512563&smCaptainPrice=3781&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_8.ceac5885P1oQqu,MC-,MC,,,image.png,49.8,image.png,20250709-068,38g,猫超,1752027793000,37.81,牛肉味,福建盛耳食品有限公司,福建盛好生物科技有限公司,,,38g*6杯,,
recQSrpcqc,opth7B67Ks,中国,红河州个旧市,云南,混,青提牛奶,牛奶饮品,风味奶,https://chaoshi.detail.tmall.com/item.htm?id=889574168658&pisk=g6lryTiQuQdPafcyxrVF0-Ts9XN8Z7x6qXZQ-203PuquOLIFT2qqdUE7AxlU0VY8Vpp-YxonD8ZlN7sn0DibqbZ7Zk7EAmCSAYgux6oIRbiIruZ3Ko0nNDupyyqnxDrIFKOsy4FLthse1CgRmd_vz053tiY3yyaHl8XfyWY8tht6Tt_0e3NnA8ZTisX0Wo4lZ82Huo4_-Wj3xDq0nP41qWVnxEy05PBltu4uoS4_mMjhEzj0oya1x94ltEu0DyV3xbJir2f458YpQuduQU8bel0u06fNWzyk64WCT6WYr8qgno53hjzzUl0o_norfrcjgRwfRnNmWxiuu5RPXzkm774E9FXUYJl8goows6UxE0l0LjTps4Nz8RV33wfnu4qbnbVMsizxn4Mnw07FtzhS1JrT3efLdSc_IAmPJF30ZymLBXtOwu0nWfH__QSTzx0aggJVvrcx3XHPx9yukrr6uE8Iz_HYcyyEZ9BLn5U4fUa5p9eukrr6uEWdp-4TulT7P&rdcAreaId=310115104&rdcTimeEffectiveTagType=none&searchWord=%25E9%25A3%258E%25E5%2591%25B3%25E5%25A5%25B6&smCaptainPrice=3790&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_8.62ce5885H5YWym,MC-,MC,,,image (1).png,59.9,image.png,20250709-069,200ml,猫超,1752028823000,37.9,茉莉+青提,云南乍甸乳业有限公司,云南乍甸乳业有限公司,,image.png,8+8盒/箱,,
recajkRsJW,optAk9XsXH,中国,合肥,安徽,单,蜜瓜牛乳,牛奶饮品,风味奶,https://chaoshi.detail.tmall.com/item.htm?id=816128314453&pisk=ghBErkbWbJeUT-BUrhvr7CZfeT9pCp4b-TTWqgjkAeYHFW3rUgYNNkLBP1Wy7iqpR7Fdz17lWBTndpgl7a_6-9TBKUoPPNHCP6sHrY75V9_5xeTkZFjldaS8v3Ylra85O5wfvMpJErgzh-sKSSiTYaRHEV2GXnTot5O3tDI7xrabh8PnjLzUlasBDekM0nvkxeAHsl-k0UvoEYqwS3-xZ2bkElrw4nuntUYnIhxW0L0kt3vMsHKJxYYkxFqw2FDHELcPyMjoQnO32S8LKIrzUh8cxFko3mKet8sINYMSCHAHoCYsEC6wYB8cxtzN8ZtGCORX10a6IiC1-hJ4LqKFsiJH4TEmaURPpd8Nu-DJX6bFIQW_2-jBL3RDECooEGSH5CXHn-0wX1jCZ9QE4YxddtOykCroeQ9GhIfc80EAjpxlyIB7kvLhqiBAGKyEkH5G0dSru4KGB1WRT4cythKwllraVMkd6Ftya9c-wCvvbEZBAbhJthKwllrZwbdMDh8bAH1..&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E9%25A3%258E%25E5%2591%25B3%25E5%25A5%25B6&skuId=5684352851436&smCaptainPrice=2460&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_9.62ce5885H5YWym,MC-,MC,,,image.png,39.9,image.png,20250709-070,200ml,猫超,1752029267000,24.6,玫珑蜜瓜+哈密瓜,新希望乳业股份有限公司,安徽新希望白帝乳业有限公司,image.png,image.png,200ml*12,,
recqggqZOr,optOnAnSj3,中国,泰州,江苏,单,高蛋白肉脯,休闲食品,猪肉脯,https://chaoshi.detail.tmall.com/item.htm?id=733346630371&pisk=grxnyejkbe7Bl8AY9CSIu5VhdRg9RJs5CQERwgCr7151wvtKd_-MiQqL2LJpSTRJ1YMCvL5kZCC_96EdYgYl_QZdTXtRqQvyTpQF9vslzQRF8kCdyCvyaM7WJ_CdZgvWiAhxDmpBdg_EMjnx4bQVSiaU8TPRQOWRq9y9qwe2dgsrZRErkmvBOC2_E9WPQAXRF9rea6zNb16ULg5Fz5zN315P4Q5UQdW5HTzFzu5ZItW7Yk5PUP5NFTNFLQSrId51Ubqa4sxyfhlT3T13UHMvf9bhgp5eppKZgwaBp10n8hYG-slAsuryj9vkxASYm4C2l6QAgCoTxgvNECbv-jqHZLJXzNxuTvd2_UAPCFGursYypEt1J8zeI3fhuH7iqxpcxTRPrFG0D9jpSZxHRYNwLICHuM98nXpGoFbfQNyu8MLvH3_2YDVf6Z6ksZLnikAV4MzauBK4VOkJbza58O6GMP-dgYsCT4vsIA4jRwW1pjHiIza58O6GMADglW_FC9hA.&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E7%258C%25AA%25E8%2582%2589%25E8%2584%25AF&skuId=5962893386115&smCaptainPrice=2790&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_1_1.1a40588557pUXV,MC-,MC,,,,49.9,image.png,20250709-071,500g,猫超,1752029913000,27.9,原味,三只松鼠（无为）有限责任公司,靖江市汇恒食品有限公司,image.png,,,,
rec7xCs3kF,optKe3IK8G,中国,萍乡,江西,单,芥末味绿蚕豆,休闲零食,坚果炒货,666復至₤dZsX4ZFZldt₴去>盒碼<查看【32.5元 盒马MAX 芥末味绿蚕豆 400g】,HM-0003A,HM,0003,A,6df4bacf-6061-4df7-aa4a-bca91d7af999.jpg,32.5,2166096b-b477-4547-826a-408443b97285.jpg,20250709-072,400g,盒马APP,1752030147000,,芥末味,,甘源食品股份有限公司,b7f99426-3a4d-4670-a9e1-76db3fad1e0d.jpg,,,,
rechCyOhs8,opt2Itygg7,中国,泰州,江苏,单,良品铺子炭烤金钱脯（烤肉）,休闲食品,猪肉脯,https://chaoshi.detail.tmall.com/item.htm?id=779558390491&pisk=gToEz3G7QHKEjIneZRqP_PsUJmZLrkAXt0N7EYDudWV3VeCP4YVZPpFQNVoz_xvLOULKaVlo6yNhAk1o_bG_tDNQx7WrNfIIN2M3ZglSFDGSKWNur5DoAbkJp8VoZbPSRFtjpvE8qI1ycnMKBevWzbz3EPXiB-j3ZFaH-9HWKIOXc38hIuReGbMC6w_g3-quKW43sdyu39qu-yVMQ825tajnZAva68CuZu2uSG2zKMqlxMxGj-whx9quZhqg68quZbqoaWHnEGyb-LL4dUoMci23ivVNqiWYLybSQasV0te3-S4gtg4sbJzUivm2_XlbIcialP6W1lDx5X2a0H5YLVD4x8oJnaPzzDEa_j-c2R3nTc4rfLKmdkyzou4NEgDZK5aixoxc_R3id4mKTTSupDibzSUwEgU7jmamoXWJHAq3EbUxVIILtYDxDqZ2YseESxrN4K58Ic3Z225lzy2TQS9wQLMFvVF_UzohyaUgDRPXdJ_Ryy2TQS9wQaQ8S-eaGpwC.&rdcAreaId=310115104&rdcTimeEffectiveTagType=halfday&searchWord=%25E7%258C%25AA%25E8%2582%2589%25E8%2584%25AF&smCaptainPrice=2761&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_2_5.1a40588557pUXV,MC-,MC,,,image.png,39.9,image.png,20250709-073,200g,猫超,1752030282000,27.61,原味,湖北良品铺子食品工业有限公司,靖江三阳食品科技有限公司,,image.png,,,
recxeBLvjI,optE6arGNO,中国,哈尔滨,黑龙江,单,上好佳田园薯片,休闲零食,膨化食品,#小程序://大润发优鲜/qOj10ZyiNt0FsQD,DRF-,DRF,,,image.png,6.6,image.png,20250709-074,80g/袋,大润发,1752030462000,,霸道榴莲味,上好佳（中国）有限公司,上好佳食品工业有限公司,image.png,,,,
recuQq3oGcTsbJ,optE6arGNO,中国,哈尔滨,黑龙江,单,上好佳田园薯片,休闲零食,膨化食品,#小程序://大润发优鲜/hRqZl9VkHvzFzKF,DRF-,DRF,,,image.png,6.6,image.png,20250709-075,80g/袋,大润发,1752030969000,,菠萝味,上好佳（中国）有限公司,上好佳食品工业有限公司,image.png,,,,
recuQq3oYPPov8,optE6arGNO,中国,哈尔滨,黑龙江,单,上好佳田园薯片,休闲零食,膨化食品,#小程序://大润发优鲜/RZD10vVSWP64uig,DRF-,DRF,,,image.png,6.6,image.png,20250709-076,80g/袋,大润发,1752030970000,,粉红西柚味,上好佳（中国）有限公司,上好佳食品工业有限公司,image.png,,,,
recWy3UYSk,optwe2W9iR,中国,合肥,安徽,单,洽洽小黄袋每日坚果（全坚果款）,休闲零食,坚果炒货,666復至🗝0FVL4ZFOrf7✔去>盒碼<查看【83.9元 洽洽 小黄袋低GI每日坚果纯坚果 400g】,HM-0004A,HM,0004,A,ff9cc065-7399-4818-baa8-907a6e1d813f.jpg,83.9,f6a10134-5859-45b1-a902-ec59e378cc7e.jpg,20250709-077,20g/袋,盒马APP,1752030933000,,原味,,洽洽食品股份有限公司,,8989c255-1819-4479-bf9d-57c9fd7bddd7.jpg,20*20g/箱,,
recjKpZaZX,optFxkV2nH,中国,泰州,江苏,单,来伊份高蛋白肉脯自然片,休闲食品,猪肉脯,https://chaoshi.detail.tmall.com/item.htm?id=793919661168&pisk=g7zZrYwjTNQZnpaNnX02LDTZXzgtVVX5IrMjiSVm1ADilGp2uSDUc1HshkzqL7ftCiIT3ky0pcMM5V90L-wIIPMsSxR4hJL_hlNinEybGPwbsAMmmvV05-PA6jD0n-kbfM_7653xoT9VPaNT9Gff0RoDSwfmNbTGOcxB6qftoT65uHOnXOg0hc9R5HxnwvcMScDGTvcS_qcijFfEKjlJmd2mo65EifDmnjmD-DctMqvMjAbn-fGWmfmiiBfEMvYioqcyx5VD8biGMgl10yxl_xkusv8DzQhZjZNpcUTWTfmiEDDyoDaE_ckuszWUQ8G3RyoSAI6I-7EQIXuP7Lhax7uigrCk0xo4W2kUUaYx9l2a-mzCMaVs7joooDRDoWPidD4iravE9kV_mPewgEcT5ziqeD5Dkmg3P0quQIC8tVc0H0UfeFHgi7U8V47wefr3a2SzuKh3JkzYbKxqjXhEF65FG58TvvGq0PxvDD0-TY1s1nKxjXhEF65eDnnnwXk51f1..&rdcAreaId=310115104&rdcTimeEffectiveTagType=none&searchWord=%25E7%258C%25AA%25E8%2582%2589%25E8%2584%25AF&skuId=5418515944517&smCaptainPrice=3651&smPriceChannel=supermarketSearch&smSourceChannel=supermarketSearch&sourceFrom=supermarket-search&spm=a3204.30010050.item-feeds.d_2_6.1a40588557pUXV,MC-,MC,,,image.png,69.9,image.png,20250709-078,520g,猫超,1752030797000,36.51,原味,上海来伊份股份有限公司,靖江三阳食品有限公司,image.png,,,,
recj7mo3kR,optxJNIIFD,中国,漳州,福建,单,爆汁牛筋肉肠,休闲零食,肉类小食,666復至₴EHfT4ZFBg7t🗝去>盒碼<查看【54元 盒马MAX 原味牛筋肉肠 560g】,HM-0005A,HM,0005,A,067ff282-8ed1-4273-a6b7-173dfe310e80.jpg,54,b25763be-8662-4440-96d4-df6445458b49.jpg,20250709-079,560g,盒马APP,1752031528000,,原味,上海盒马物联网有限公司,龙海市新信达食品有限公司,773240e2-3383-44b4-a7a4-6947bf8e3aa1.jpg,,,,
recuq6odXt,optsSjZcuf,中国,佛山,广东,混,开心果仁（蒜香风味&海盐风味）,休闲零食,坚果蜜饯,,SM-,SM,,,cb73b472-46f6-4678-9217-4be3c1b5a067.jpg,106.9,bd0d9b28-fb70-4d78-a7a5-e9fdbe0e8a7b.jpg,20250709-080,,山姆APP,1752031853000,,蒜香风味&海盐风味,,,,,420g,,
recEY0ZC9N,optcQBlrKv,中国,烟台,山东,单,苹果干,休闲零食,坚果蜜饯,,SM-,SM,,,997e2263-52c1-4666-b353-af218000175a.jpg,56.9,90f5b07a-5e86-416c-954d-d523611bf2cf.jpg,20250709-081,560g,山姆APP,1752033611000,,,,,,,,,
recwiwt7Yo,optkAkwWal,泰国,,,单,Calbee牌Jagabee淡盐味薯条,休闲零食,薯片膨化,,SM-,SM,,,74accead-0583-444a-8df2-558666661144.jpg,85.9,68c1a3ec-9301-4cb4-91b9-62650816763f.jpg,20250709-082,15g,山姆APP,1752033957000,,淡盐味,,,,,15g*40袋,1928c097-ebf1-4e91-b90b-2fdaedfc03e2.jpg,
recRfLGoB9,optZj3FOep,中国,漳州,福建,单,每日黑巧鲜萃黑巧巧克力制品（香醇榛子味）,休闲零食,巧克力,,SM-,SM,,,b595ae11-e51e-4a3c-958b-a62088d31521.jpg,99.9,d37470c8-124d-48b4-b632-5009d6f7d68e.jpg,20250709-083,15g,山姆APP,1752034247000,,香醇榛子味,,,,941f79c4-5006-48ca-9737-e1ed1905ba8e.jpg,15g*13,,
recPcj2J2z,optu5litdc,中国,半顶山,河南,单,宝丰自由爱（白酒）,酒水饮料,酒水饮料,,PDL-,PDL,,,,450,微信图片_2025-07-09_130138_891.png,20250709-084,500ml,胖东来,1752037528000,,,许昌市胖东来超市有限公司,宝丰酒业有限公司,微信图片_2025-07-09_130144_437.png,微信图片_2025-07-09_130134_596.png,6瓶/箱,,
recdNEzVxJ,optcoQYUOQ,泰国,,,单,椰子水,酒水饮料,果汁/植物饮,,SM-,SM,,,a6f8982f3dd936fce0617475c4a06f83_compress.jpg,64.9,bbcf14658c6a5f57a0624d6e2de4b9d1_compress.jpg,20250709-085,200ml,山姆APP,1752038032000,,,,,,a9b479fca2a9a8c23a0e81d5513cc114_compress.jpg,200ml*24,,
recZKuhdMR,optpc65cYP,中国,杭州,浙江,单,精酿黑啤酒,酒水饮料,酒水饮料,,PDL-,PDL,,,微信图片_2025-07-09_130554_674.png,57,微信图片_2025-07-09_130550_540.png,20250709-086,500ml,胖东来,1752037754000,57,,许昌市胖东来超市有限公司,杭州千岛湖啤酒有限公司,,微信图片_2025-07-09_130550_540.png,12罐/箱,,
recfgjPAKS,opt5qRpuJN,中国,杭州,浙江,单,精酿小麦啤酒,酒水饮料,酒水饮料,,PDL-,PDL,,,微信图片_2025-07-09_131045_527.png,45,微信图片_2025-07-09_131042_028.jpg,20250709-087,500ml,胖东来,1752037964000,45,,许昌市胖东来超市有限公司,杭州千岛湖啤酒有限公司,,微信图片_2025-07-09_131042_028.jpg,12罐/箱,,
rechixM3PZ,opt5qRpuJN,中国,杭州,浙江,单,精酿小麦啤酒,酒水饮料,酒水饮料,,PDL-,PDL,,,微信图片_2025-07-09_131308_010.png,60,微信图片_2025-07-09_131304_588.png,20250709-088,330ml,胖东来,1752038081000,60,,许昌市胖东来超市有限公司,杭州千岛湖啤酒有限公司,,,24罐/箱,,
recTGdUQ8q,optMcUjB0p,中国,漳州,福建,单,海鳗鱼干,休闲食品,休闲食品,,PDL-,PDL,,,微信图片_2025-07-09_131534_362.jpg,9.9,微信图片_2025-07-09_131527_522.jpg,20250709-089,40g,胖东来,1752038269000,9.9,原味,许昌市胖东来超市有限公司,福建嘉荣食品有限公司,微信图片_2025-07-09_131531_019.jpg,,,,
